Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ИдФайл			А	T	1	100	О				&ИдФайл	Идентификатор файла
ВерсПрог			А	T	1	40	О				&ВерсПрог	Версия программы, с помощью которой сформирован файл
ВерсФорм			А	T	1	5	О				&ВерсФорм	Версия формата
Документ			С				О					Состав и структура документа
КНД			А	T	7	7	О				&КНД	Код формы отчетности по КНД
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования документа
Период			А	T	2	2	О				&Период	Отчетный период
ОтчетГод			А	T	4	4	О				&ОтчетГод	Отчетный год
НомКорр			А	T	1	3	Н				&ВидДок	Номер корректировки
ОКЕИ			А	T	3	3	О				&ОКЕИ	Код по ОКЕИ
СвНП			С				О					Сведения о налогоплательщике
ОКВЭД			А	T	2	8	О				&ОКВЭД	Код по ОКВЭД
ОКОПФ			А	T	2	2	О				&ОКОПФ	Код по ОКОПФ
ОКФС			А	T	2	2	О				&ОКФС	Код по ОКФС
ОКПО			А	T	8	10	Н				&ОКПО	Код по ОКПО
НПЮЛ			С				О					Налогоплательщик - юридическое лицо
НаимОрг			А	T	1	1000	О				&НаимОрг	Наименование организации
ИННЮЛ			А	T	10	10	О				&ИННОрг	ИНН организации
КПП			А	T	9	9	О				&КППОрг	КПП
АдрРФ			С				О					Местонахождение (адрес в Российской Федерации)
Индекс			А	T	6	6	Н				&АдрИндекс	Индекс
КодРегион			А	T	2	2	О				&АдрКодРегион	Код Региона
Район			А	T	1	50	Н				&АдрРайон	Район
Город			А	T	1	50	Н				&АдрГород	Город
НаселПункт			А	T	1	50	Н				&АдрНаселПункт	Населенный пункт
Улица			А	T	1	50	Н				&АдрУлица	Улица
Дом			А	T	1	8	Н				&АдрДом	Дом
Корпус			А	T	1	8	Н				&АдрКорпус	Корпус
Кварт			А	T	1	8	Н				&АдрКварт	Офис
Подписант			С				О					Сведения о лице, подписавшем документ
ПрПодп			А	T	1	1	О				3	Принимает значение:3 - руководитель   |4 - главный бухгалтер
ФИО			С				О					Фамилия, Имя, Отчество руководителя
Фамилия			А	T	1	60	О				&ФамилияРук	Фамилия
Имя			А	T	1	60	О				&ИмяРук	Имя
Отчество			А	T	1	60	Н				&ОтчествоРук	Отчество
Подписант			С				О					Сведения о лице, подписавшем документ
ПрПодп			А	T	1	1	О				4	Принимает значение:3 - руководитель   |4 - главный бухгалтер
ФИО			С				О					Фамилия, Имя, Отчество главного бухгалтера
Фамилия			А	T	1	60	О				&ФамилияБух	Фамилия
Имя			А	T	1	60	О				&ИмяБух	Имя
Отчество			А	T	1	60	Н				&ОтчествоБух	Отчество
Баланс	Баланс		С				О					Бухгалтерский баланс
ОКУД			А	T	7	7	О				&ОКУД1	Код формы по ОКУД
Актив			С				О					Актив
СумОтч		П000100160004	А	N		12	О					Сумма на отчетную дату отчетного периода - баланс
СумПрдщ		П000100160005	А	N		12	О					Сумма на 31 декабря предыдущего года - баланс
СумПрдшв		П000100160006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему - баланс
ВнеОбА			С				Н					Внеоборотные активы
СумОтч		П000100110004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100110005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100110006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
НематАкт			С				Н					Нематериальные активы
СумОтч		П000100111004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100111005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100111006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
РезИсслед			С				Н					Результаты исследований и разработок
СумОтч		П000100112004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100112005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100112006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОснСр			С				Н					Основные средства
СумОтч		П000100113004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100113005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100113006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ВлМатЦен			С				Н					Доходные вложения в материальные ценности
СумОтч		П000100114004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100114005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100114006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ФинВлож			С				Н					Финансовые вложения
СумОтч		П000100115004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100115005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100115006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОтлНалАкт			С				Н					Отложенные налоговые активы
СумОтч		П000100116004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100116005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100116006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочВнеОбА			С				Н					Прочие внеоборотные активы
СумОтч		П000100117004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100117005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100117006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ОбА			С				Н					Оборотные активы
СумОтч		П000100120004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100120005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100120006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
Запасы			С				Н					Запасы
СумОтч		П000100121004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100121005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100121006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
НДСПриобрЦен			С				Н					Налог на добавленную стоимость по приобретенным ценностям
СумОтч		П000100122004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100122005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100122006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДебЗад			С				Н					Дебиторская задолженность
СумОтч		П000100123004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100123005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100123006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ФинВлож			С				Н					Финансовые вложения
СумОтч		П000100124004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100124005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100124006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДенежнСр			С				Н					Денежные средства
СумОтч		П000100125004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100125005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100125006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПрочОбА			С				Н					Прочие оборотные активы
СумОтч		П000100126004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100126005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100126006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
Пассив			С				О					Пассив
СумОтч		П000100170004	А	N		12	О					Сумма на отчетную дату отчетного периода - баланс
СумПрдщ		П000100170005	А	N		12	О					Сумма на 31 декабря предыдущего года - баланс
СумПрдшв		П000100170006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему - баланс
КапРез			С				О					Капиталы и резервы
СумОтч		П000100130004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100130005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100130006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
УставКапитал			С				Н					Уставный капитал
СумОтч		П000100131004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100131005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100131006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
СобствАкции			С				Н					Собственные акции, выкупленные у акционеров
СумОтч		П000100132004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100132005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100132006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ПереоцВнеОбА			С				Н					Переоценка внеоборотных активов
СумОтч		П000100134004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100134005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100134006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДобКапитал			С				Н					Добавочный капитал (без переоценки)
СумОтч		П000100135004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100135005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100135006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
РезКапитал			С				Н					Резервный капитал
СумОтч		П000100136004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100136005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100136006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
НераспПриб			С				Н					Нераспределенная прибыль (непокрытый убыток)
СумОтч		П000100137004	А	N		12	О					Сумма на отчетную дату отчетного периода
СумПрдщ		П000100137005	А	N		12	Н					Сумма на 31 декабря предыдущего года
СумПрдшв		П000100137006	А	N		12	Н					Сумма на 31 декабря года, предшествующего предыдущему
ДолгосрОбяз			С				Н					Долгосрочные обязательства
СумОтч		П000100140004	А	N		12	О					Сумма на отчетную дату отчетного периода, итого
СумПрдщ		П000100140005	А	N		12	О					Сумма на 31 декабря предыдущего года, итого
СумПрдшв		П000100140006	А	N		12	О					Сумма на 31 декабря года, предшествующего предыдущему, итого
ЗаемСредств			С				Н					Заемные средства
